$GNGGA,025101.00,4003.8515923,N,11613.6874592,E,4,26,0.59,54.610,M,,M,4.000,0000*4B
$GNGGA,025101.20,4003.8515918,N,11613.6874600,E,4,26,0.59,54.613,M,,M,4.000,0000*4A
$GNGGA,025101.40,4003.8515913,N,11613.6874603,E,4,26,0.59,54.614,M,,M,4.000,0000*43
$GNGGA,025101.60,4003.8515916,N,11613.6874596,E,4,26,0.59,54.612,M,,M,4.000,0000*4D
$GNGGA,025101.79,4003.8515918,N,11613.6874593,E,4,26,0.59,54.612,M,,M,4.000,0000*4E
$GNGGA,025102.00,4003.8515918,N,11613.6874601,E,4,26,0.59,54.612,M,,M,5.000,0000*4A
$GNGGA,025102.20,4003.8515913,N,11613.6874601,E,4,26,0.59,54.614,M,,M,5.000,0000*45
$GNGGA,025102.40,4003.8515910,N,11613.6874616,E,4,26,0.59,54.613,M,,M,5.000,0000*41
$GNGGA,025102.60,4003.8515913,N,11613.6874614,E,4,26,0.59,54.612,M,,M,5.000,0000*43
$GNGGA,025102.79,4003.8515911,N,11613.6874620,E,4,26,0.59,54.611,M,,M,5.000,0000*4D
$GNGGA,025103.00,4003.8515909,N,11613.6874624,E,4,26,0.59,54.611,M,,M,6.000,0000*4C
$GNGGA,025103.20,4003.8515910,N,11613.6874623,E,4,26,0.59,54.612,M,,M,6.000,0000*42
$GNGGA,025103.40,4003.8515915,N,11613.6874614,E,4,26,0.59,54.613,M,,M,6.000,0000*44
$GNGGA,025103.60,4003.8515905,N,11613.6874627,E,4,26,0.59,54.611,M,,M,6.000,0000*45
$GNGGA,025103.79,4003.8515913,N,11613.6874626,E,4,26,0.59,54.612,M,,M,6.000,0000*48
$GNGGA,025104.00,4003.8515907,N,11613.6874632,E,4,26,0.59,54.609,M,,M,7.000,0000*4A
$GNGGA,025104.20,4003.8515908,N,11613.6874623,E,4,26,0.59,54.610,M,,M,7.000,0000*4F
$GNGGA,025104.40,4003.8515908,N,11613.6874630,E,4,26,0.59,54.610,M,,M,7.000,0000*4B
